condition,speed_cm_s,trial,seed,tau,success,lift_mm,mean_tracking_error_pre_contact_mm,mean_tracking_error_after_warmup_mm,contact_tracking_error_mm,max_tracking_error_mm,object_estimation_error_xy_mm,object_estimation_error_theta_deg,target_to_desired_demo_frame_error_xy_mm,target_to_object_contact_offset_error_mm,ee_to_target_error_xy_mm,ee_to_target_error_3d_mm,mean_ee_to_target_error_pre_contact_mm,mean_ee_to_target_error_contact_window_mm,max_ee_to_target_error_mm,contact_window_ee_to_object_xy_mm,contact_window_ee_to_target_xy_mm,contact_window_target_to_object_xy_mm,gripper_close_sim_t,gripper_close_t_demo,contact_position_error_mm,orientation_error_deg,approach_error_mm,progress_pct,main_failure,n_attempts,runtime_s
dynamic_cv,2.000,6,42,0.100,1,101.633,54.591,55.310,11.816,203.905,54.591,nan,72.133,72.107,23.811,37.087,23.811,0.613,469.732,7.165,0.613,7.446,3.367,2.525,0.351,4.305,0.634,96.631,none,1,9.354
dynamic_cv,2.000,7,42,0.100,0,-0.010,67.253,69.942,nan,193.137,67.253,nan,75.694,75.695,13.136,24.561,13.136,9.505,469.732,81.350,9.505,77.624,3.333,2.513,inf,inf,inf,84.675,attempt_limit,3,3.480
dynamic_cv,2.000,8,42,0.100,0,-0.010,65.235,68.987,nan,210.624,65.235,nan,74.185,74.178,13.127,25.291,13.127,2.256,471.101,84.155,2.256,86.204,2.800,2.514,inf,inf,inf,88.643,attempt_limit,3,3.303
dynamic_cv,2.000,9,42,0.100,0,-0.010,77.884,83.802,nan,201.501,77.884,nan,86.392,86.393,13.422,24.761,13.422,11.552,471.953,84.071,11.552,82.043,2.800,2.501,inf,inf,inf,88.257,attempt_limit,3,3.323
dynamic_cv,2.000,10,42,0.100,0,-0.010,65.751,70.709,nan,199.270,65.751,nan,74.637,74.624,12.621,23.965,12.621,9.378,473.406,62.498,9.378,61.210,2.800,2.518,inf,inf,inf,85.390,attempt_limit,3,3.506
dynamic_cv,4.000,1,42,0.100,1,108.788,56.826,54.840,20.016,260.337,56.826,nan,66.299,66.271,14.775,26.910,14.775,9.009,462.934,44.008,9.009,43.214,3.333,2.501,2.147,18.078,2.068,93.235,none,3,9.560
dynamic_cv,4.000,2,42,0.100,1,115.610,63.180,60.737,24.489,261.981,63.180,nan,72.359,72.335,14.971,27.743,14.971,2.243,464.740,50.089,2.243,51.529,3.367,2.501,2.543,19.616,2.445,93.215,none,3,9.356
dynamic_cv,4.000,3,42,0.100,1,278.166,61.039,66.109,12.067,201.232,61.039,nan,80.083,80.053,24.181,39.384,24.181,14.130,467.167,50.435,14.130,42.979,3.333,2.511,1.854,1.844,1.879,66.411,none,1,9.255
dynamic_cv,4.000,4,42,0.100,0,-0.010,69.473,74.237,nan,205.927,69.473,nan,77.616,77.598,12.717,25.424,12.717,2.984,470.000,71.949,2.984,74.099,2.800,2.509,inf,inf,inf,87.529,attempt_limit,3,3.522
dynamic_cv,4.000,5,42,0.100,1,108.758,50.367,53.516,18.334,204.674,50.367,nan,58.832,58.803,12.915,24.670,12.915,9.809,471.953,48.669,9.809,47.373,2.867,2.518,2.098,17.765,2.035,95.190,none,3,9.362
